Date,Block,Demand
01-09-2022,76,9947.25
01-09-2022,77,9893
01-09-2022,78,10099
01-09-2022,79,10268
01-09-2022,80,10148
01-09-2022,81,10188
01-09-2022,82,10282
01-09-2022,83,10341
01-09-2022,84,9897
01-09-2022,85,10071
01-09-2022,86,9873
01-09-2022,87,9725
01-09-2022,88,10083
01-09-2022,89,10281
01-09-2022,90,10677
01-09-2022,91,10471
01-09-2022,92,10383
01-09-2022,93,10403
01-09-2022,94,10466
01-09-2022,95,10731
01-09-2022,96,11091
01-09-2022,1,11403
01-09-2022,2,11374
01-09-2022,3,11485
01-09-2022,4,11678
01-09-2022,5,11325
01-09-2022,6,11337
01-09-2022,7,11494
01-09-2022,8,12054
01-09-2022,9,11558
01-09-2022,10,11695
01-09-2022,11,11854
01-09-2022,12,11815
01-09-2022,13,11783
01-09-2022,14,11764
01-09-2022,15,11677
01-09-2022,16,11864
01-09-2022,17,11560
01-09-2022,18,11821
01-09-2022,19,11451
01-09-2022,20,11347
01-09-2022,21,11303
01-09-2022,22,11275
01-09-2022,23,11703.75
01-09-2022,24,11018
01-09-2022,25,11384
01-09-2022,26,11083
01-09-2022,27,11069
01-09-2022,28,11313
01-09-2022,29,11749
01-09-2022,30,12015.5
01-09-2022,31,11894
01-09-2022,32,12009
01-09-2022,33,11924
01-09-2022,34,12116
01-09-2022,35,12204
01-09-2022,36,11978
01-09-2022,37,12014
01-09-2022,38,12178
01-09-2022,39,12380
01-09-2022,40,12500
01-09-2022,41,12856
01-09-2022,42,12769.25
01-09-2022,43,12822
01-09-2022,44,12643
01-09-2022,45,12732
01-09-2022,46,12779
01-09-2022,47,12787.0625
01-09-2022,48,12149
01-09-2022,49,12358
01-09-2022,50,12508
01-09-2022,51,13043
01-09-2022,52,13380
01-09-2022,53,13189
01-09-2022,54,12862.5
01-09-2022,55,13193
01-09-2022,56,13263
01-09-2022,57,13484
01-09-2022,58,13578
01-09-2022,59,13173
01-09-2022,60,13013
01-09-2022,61,12657
01-09-2022,62,12489
01-09-2022,63,12591
01-09-2022,64,12492
01-09-2022,65,12392
01-09-2022,66,12532
01-09-2022,67,12320
01-09-2022,68,12243
01-09-2022,69,12237
01-09-2022,70,12205
01-09-2022,71,12159
01-09-2022,72,12382
01-09-2022,73,11644
01-09-2022,74,11392
01-09-2022,75,11382
01-09-2022,76,12254.25
01-09-2022,77,11804
01-09-2022,78,11887
01-09-2022,79,11666
01-09-2022,80,11841
01-09-2022,81,11629
01-09-2022,82,11866
01-09-2022,83,11631
01-09-2022,84,11598
01-09-2022,85,11429
01-09-2022,86,11449
01-09-2022,87,11488
01-09-2022,88,11446
01-09-2022,89,11638
01-09-2022,90,11864
01-09-2022,91,11672
01-09-2022,92,11558
01-09-2022,93,11512
01-09-2022,94,11427
01-09-2022,95,11790
01-09-2022,96,11752
01-09-2022,1,4572
01-09-2022,2,4673
01-09-2022,3,4567
01-09-2022,4,4576
01-09-2022,5,4563
01-09-2022,6,4636
01-09-2022,7,4555
01-09-2022,8,4514
01-09-2022,9,4494
01-09-2022,10,4511
01-09-2022,11,4518
01-09-2022,12,4536
01-09-2022,13,4489
01-09-2022,14,4452
01-09-2022,15,4528
01-09-2022,16,4515
01-09-2022,17,4488
01-09-2022,18,4509
01-09-2022,19,4516
01-09-2022,20,4500
01-09-2022,21,4535
01-09-2022,22,4617
01-09-2022,23,4402.75
01-09-2022,24,4632
01-09-2022,25,4596
01-09-2022,26,4694
01-09-2022,27,4656
01-09-2022,28,4657
01-09-2022,29,4614
01-09-2022,30,4494.75
01-09-2022,31,4628
01-09-2022,32,4607
01-09-2022,33,4627
01-09-2022,34,4629
01-09-2022,35,4554
01-09-2022,36,4595
01-09-2022,37,4588
01-09-2022,38,4595
01-09-2022,39,4597
01-09-2022,40,4685
01-09-2022,41,4630
01-09-2022,42,4450
01-09-2022,43,4624
01-09-2022,44,4668
01-09-2022,45,4606
01-09-2022,46,4634
01-09-2022,47,4323.9375
01-09-2022,48,4560
01-09-2022,49,4623
01-09-2022,50,4568
01-09-2022,51,4547
01-09-2022,52,4535
01-09-2022,53,4475
01-09-2022,54,4175.4375
01-09-2022,55,4452
01-09-2022,56,4403
01-09-2022,57,4489
01-09-2022,58,4500
01-09-2022,59,4460
01-09-2022,60,4432
01-09-2022,61,4502
01-09-2022,62,4576
01-09-2022,63,4640
01-09-2022,64,4595
01-09-2022,65,4604
01-09-2022,66,4321.75
01-09-2022,67,4653
01-09-2022,68,4642
01-09-2022,69,4639
01-09-2022,70,4616
01-09-2022,71,4595
01-09-2022,72,4659
01-09-2022,73,4669
01-09-2022,74,4756
01-09-2022,75,4911
01-09-2022,76,4566.75
01-09-2022,77,4604
01-09-2022,78,4467
01-09-2022,79,4480
01-09-2022,80,4522
01-09-2022,81,4504
01-09-2022,82,4543
01-09-2022,83,4668
01-09-2022,84,4661
01-09-2022,85,4712
01-09-2022,86,4675
01-09-2022,87,4716
01-09-2022,88,4676
01-09-2022,89,4707
01-09-2022,90,4704
01-09-2022,91,4730
01-09-2022,92,4764
01-09-2022,93,4722
01-09-2022,94,4781
01-09-2022,95,4722
01-09-2022,96,4821
01-09-2022,1,420
01-09-2022,2,417
01-09-2022,3,413
01-09-2022,4,419.75
01-09-2022,5,409
01-09-2022,6,418.5625
01-09-2022,7,410
01-09-2022,8,405
01-09-2022,9,408
01-09-2022,10,406
01-09-2022,11,404
01-09-2022,12,403
01-09-2022,13,406
01-09-2022,14,401
01-09-2022,15,400
01-09-2022,16,397
01-09-2022,17,402
01-09-2022,18,400
01-09-2022,19,397
01-09-2022,20,396
01-09-2022,21,395
01-09-2022,22,398
01-09-2022,23,415.6875
01-09-2022,24,401
01-09-2022,25,399
01-09-2022,26,400
01-09-2022,27,409
01-09-2022,28,410
01-09-2022,29,416
01-09-2022,30,414.75
01-09-2022,31,419
01-09-2022,32,423
01-09-2022,33,408
01-09-2022,34,412
01-09-2022,35,414
01-09-2022,36,420
01-09-2022,37,415
01-09-2022,38,419
01-09-2022,39,421
01-09-2022,40,429.25
01-09-2022,41,414
01-09-2022,42,432
01-09-2022,43,417
01-09-2022,44,413
01-09-2022,45,410
01-09-2022,46,411
01-09-2022,47,427.8554688
01-09-2022,48,409
01-09-2022,49,407
01-09-2022,50,406
01-09-2022,51,402
